Name,Latitude,Longitude,Address,Categories,Rating,Google Maps URL
Phòng Khám Đông Y Tuệ Vũ - Chi Nhánh Phường Tân Hưng (Quận 7),10.7368068,106.7107607,"Phòng Khám Đông Y Tuệ Vũ - Chi Nhánh Phường Tân Hưng (Quận 7), 84-86 Đường số 41, Khu dân cư An Phú Hưng, Tân Hưng, Hồ Chí Minh 70000, Việt Nam","Cơ sở nắn xương khớp, Bác sĩ trị liệu xoa bóp, Vật lý trị liệu, Phòng khám vật lý trị liệu",5,https://www.google.com/maps/place/?q=place_id:ChIJb_iSMUQvdTER33Oeh8oHXg0
Phòng Khám Maple Healthcare - Chiropractic Quận 7,10.733471999999999,106.71018289999999,"Phòng Khám Maple Healthcare - Chiropractic Quận 7, 2-4 Nội Khu Phố Hưng Gia 1, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Người chữa bệnh bằng phương pháp nắn khớp xương,4.8,https://www.google.com/maps/place/?q=place_id:ChIJ0VIFkogvdTERmCSvOhbiIWQ
Thẩm Mỹ Viện Linh Anh - Quận 7,10.739162799999999,106.70729089999999,"Thẩm Mỹ Viện Linh Anh - Quận 7, 515 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh 70000, Việt Nam","Thẩm mỹ viện, Dịch vụ thẩm mỹ, Spa mặt, Cơ sở chăm sóc da, Spa",4.9,https://www.google.com/maps/place/?q=place_id:ChIJN09W_IYpdTERiLA9OavtOBA
Nha khoa Tấm Dentist Quận 7,10.7391854,106.7074172,"Nha khoa Tấm Dentist Quận 7, 513 Nguyễn Thị Thập, Khu định cư Tân Quy Đông, Tân Hưng, Hồ Chí Minh, Việt Nam","Phòng khám nha khoa, Chuyên viên vệ sinh nha khoa, Bác sĩ chỉnh răng",4.8,https://www.google.com/maps/place/?q=place_id:ChIJjawLQ8MvdTERtnrFin-IYZg
Phòng Khám Nhi - Sơ sinh Quận 7 (Bác sĩ Nguyễn Phạm Minh Trí - Bệnh viện Nhi Đồng 2),10.7444369,106.7133461,"Phòng Khám Nhi - Sơ sinh Quận 7 (Bác sĩ Nguyễn Phạm Minh Trí - Bệnh viện Nhi Đồng 2), 76 Đ. Số 37, Tân Hưng, Hồ Chí Minh, Việt Nam","Bác sĩ khoa nhi, Trung tâm chăm sóc sức khỏe trẻ em, Bác sĩ, Nhà tư vấn sức khỏe, Phòng khám, Phòng mạch y tế, Bác sĩ sơ sinh, Trung tâm chăm sóc sức khỏe",4.8,https://www.google.com/maps/place/?q=place_id:ChIJ88jem4IvdTER5R3ZLENgPkI
Lam Premier Quận 7,10.739412999999999,106.70593099999999,"Lam Premier Quận 7, 543 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Cơ sở chăm sóc da,4.5,https://www.google.com/maps/place/?q=place_id:ChIJKawaXg4vdTERRJ3aGhKiVPY
"Spa Peel Da, Trị Mụn Quận 7 - Haxu Beauty Clinic",10.7398086,106.71274109999999,"Spa Peel Da, Trị Mụn Quận 7 - Haxu Beauty Clinic, 2a Đường số 79, Tân Hưng, Hồ Chí Minh, Việt Nam","Spa, Spa mặt, Cơ sở chăm sóc da",5,https://www.google.com/maps/place/?q=place_id:ChIJQVfOn1dR3owRVr8t7CRK3EQ
LA GRACE Anti-Aging & Beauty Clinic,10.7265416,106.7076673,"Việt Nam, Hồ Chí Minh, Tân Hưng, Khu đô thị Phú Mỹ Hưng, Đ. Hà Huy Tập, LA GRACE Anti-Aging & Beauty Clinic",Trung tâm y tế,5,https://www.google.com/maps/place/?q=place_id:ChIJYWjmCigvdTERegt4D0xqXJU
"Nha Khoa Kim - 493 Nguyễn Thị Thập, Quận 7",10.7390442,106.70855069999999,"Nha Khoa Kim - 493 Nguyễn Thị Thập, Quận 7, 493 Nguyễn Thị Thập, P, Tân Hưng, Hồ Chí Minh 70000, Việt Nam","Phòng khám nha khoa, Nha sĩ chỉnh hình răng, Nha sĩ, Nha sĩ nhi khoa, Nha sĩ phục hình răng",4.6,https://www.google.com/maps/place/?q=place_id:ChIJq_bxTaAvdTERlkQe583iQBM
Phòng Khám Bác Sĩ Vũ Minh Đức (Golden Care Clinic),10.740879699999999,106.69918919999999,"Phòng Khám Bác Sĩ Vũ Minh Đức (Golden Care Clinic), 28 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh, Việt Nam","Phòng khám, Bệnh viện",4.3,https://www.google.com/maps/place/?q=place_id:ChIJBYtR-qEvdTERkZ4CMm_bL-Q
Nha khoa Lan Anh,10.7266146,106.70948829999999,"Nha khoa Lan Anh, 130 Đ. Hà Huy Tập, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám nha khoa,4.9,https://www.google.com/maps/place/?q=place_id:ChIJ71wUWpIvdTERTT13Rm_QNBc
PHÒNG KHÁM TAI MŨI HỌNG - (Dr LÊ NA Clinic ENT),10.7258683,106.734088,"PHÒNG KHÁM TAI MŨI HỌNG - (Dr LÊ NA Clinic ENT), 1049 Huỳnh Tấn Phát, Phú Thuận, Hồ Chí Minh, Việt Nam","Phòng khám tai mũi họng, Bác sĩ chuyên khoa tai mũi họng, Phòng khám nhi khoa",4.8,https://www.google.com/maps/place/?q=place_id:ChIJp8QAKfwldTERlVRQVaaaywQ
Nha Khoa Sunrise,10.740401,106.699078,"Nha Khoa Sunrise, KDC, 29 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 70000, Việt Nam","Phòng khám nha khoa, Nha sĩ, Bác sĩ chỉnh răng",4.9,https://www.google.com/maps/place/?q=place_id:ChIJWbExOKIvdTERZ0KdSC_y85c
"Nha Khoa Kim - 60C Nguyễn Thị Thập, Quận 7",10.7378583,106.7261886,"Nha Khoa Kim - 60C Nguyễn Thị Thập, Quận 7, 60C Nguyễn Thị Thập, Tân Thuận, Hồ Chí Minh 70000, Việt Nam",Phòng khám nha khoa,4.7,https://www.google.com/maps/place/?q=place_id:ChIJDUnys7QvdTERIwr7oz2vSQ0
Phòng Khám Đa Khoa Thái Hòa,10.7374829,106.7288585,"Phòng Khám Đa Khoa Thái Hòa, 29-31 Nguyễn Thị Thập, Tân Mỹ, Hồ Chí Minh, Việt Nam",Phòng khám,3.6,https://www.google.com/maps/place/?q=place_id:ChIJlaGEu4YvdTERQDoq07Og268
