Name,Latitude,Longitude,Address,Ward,Rating,Google Maps URL
Hạt Dẻ Coffee,10.743903399999999,106.6981787,"Hạt Dẻ Coffee, F4 Đ. 3A, P, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJo2cz07UvdTER5n3AEH8tGFg
Newdays quận 7 (Japanese Matcha cafe),10.7400754,106.70524569999999,"PPR4+23 Newdays quận 7 (Japanese Matcha cafe), 08 Đ. Số 30, Tân Hưng, Hồ Chí Minh 76000, Việt Nam",Tân Hưng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJTVfkZEQvdTERWIs2pv0FYHI
Củi coffee,10.7440983,106.6980382,"Củi coffee, Đ. 3A, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJE1v0OK8vdTERe1K2RWjHY7A
Gateau de Blanc Dessert & Cafe,10.722567399999999,106.71075929999999,"Gateau de Blanc Dessert & Cafe, 35 duong Khu Phố Mỹ Tú 3, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.4,https://www.google.com/maps/place/?q=place_id:ChIJc2xNY7QvdTERPggyas6oSpY
S2M Gaming - 55 Đường 81 - Quận 7,10.740217399999999,106.7050537,"S2M Gaming - 55 Đường 81 - Quận 7, 55 Đường Số 81, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJAxURfcAvdTERgCYd1GViyt4
NHẸ TÊNH Coffee & Tea - 552 Lê Văn Lương | Cafe Tân Phong | Cafe Quận 7,10.7330399,106.7014327,"NHẸ TÊNH Coffee & Tea - 552 Lê Văn Lương | Cafe Tân Phong | Cafe Quận 7, 552 Lê Văn Lương, Tân Hưng, Hồ Chí Minh 77000, Việt Nam",Tân Hưng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJNwP-6QUvdTERqJOGDQxQRZI
Tropical Fruits Cafe,10.7320199,106.70676209999999,"Tropical Fruits Cafe, 96 Cao Triều Phát, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Hưng,4.3,https://www.google.com/maps/place/?q=place_id:ChIJRSwM2JAvdTERDuvhY7-x-nE
Phê La Nguyễn Thị Thập,10.7393203,106.7079172,"Phê La Nguyễn Thị Thập, 446 Nguyễn Thị Thập, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Hưng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJx-5pRnYvdTER9nCdoFQ31TY
Mimoza Coffee,10.736652,106.7107015,"PPP6+M78 Mimoza Coffee, Đường số 41, Khu dân cư An Phú Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Hưng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJu-yh25ovdTERC3qVMtFmaOs
KAI Coffee - 36St,10.740194599999999,106.70850449999999,"KAI Coffee - 36St, 18 Đường 36, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Hưng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJvxZcGBYvdTERzLN3iVVGCUo
